央视频道,#genre#
CCTV1,http://[2409:8087:2001:20:2800:0:df6e:eb07]/wh7f454c46tw3252572940_-481357165/ott.mobaibox.com/PLTV/3/224/3221227467/index.m3u8?icpid=3&RTS=1668593752&from=40&ocs=2_2409:8087:2001:20:2800:0:df6e:eb0a_80&popid=40&hms_devid=2036&prioritypopid=40&vqe=3
CCTV1,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221225530/index.m3u8
CCTV1,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221227462/index.m3u8
CCTV1,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221227641/index.m3u8
CCTV1,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221228213/index.m3u8
CCTV1,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221227725/index.m3u8
CCTV1,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221227634/index.m3u8
CCTV1,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221227675/index.m3u8
CCTV1,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/3/224/3221227641/index.m3u8
CCTV1,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/3/224/3221225530/index.m3u8
CCTV1,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/3/224/3221227675/index.m3u8
CCTV1,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/3/224/3221227462/index.m3u8
CCTV1,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/3/224/3221227634/index.m3u8
CCTV1,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/3/224/3221228213/index.m3u8
CCTV1,http://[2409:8087:2001:20:2900:0:df6e:eb04]/ott.mobaibox.com/PLTV/1/224/3221225530/1.m3u8
CCTV1,http://[2409:8087:2001:20:2900:0:df6e:eb04]/ott.mobaibox.com/PLTV/1/224/3221228213/1.m3u8
CCTV1,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/3/224/3221227725/index.m3u8
CCTV1,http://[2409:8087:2001:20:2900:0:df6e:eb04]/ott.mobaibox.com/PLTV/1/224/3221227431/1.m3u8
CCTV1,http://[2409:8087:2001:20:2900:0:df6e:eb04]/ott.mobaibox.com/PLTV/1/224/3221228149/1.m3u8
CCTV1,http://ott.mobaibox.com/PLTV/3/224/3221227375/index.m3u8
CCTV1,http://ott.mobaibox.com/PLTV/3/224/3221227641/index.m3u8
CCTV1,http://ott.mobaibox.com/PLTV/3/224/3221225530/index.m3u8
CCTV1,http://ott.mobaibox.com/PLTV/3/224/3221226316/index.m3u8
CCTV1,http://ott.mobaibox.com/PLTV/3/224/3221227494/index.m3u8
CCTV1,http://ott.mobaibox.com/PLTV/3/224/3221227644/index.m3u8
CCTV1,http://ott.mobaibox.com/PLTV/3/224/3221228146/index.m3u8
CCTV1,http://ott.mobaibox.com/PLTV/3/224/3221227675/index.m3u8
CCTV1,http://ott.mobaibox.com/PLTV/3/224/3221227462/index.m3u8
CCTV1,http://ott.mobaibox.com/PLTV/3/224/3221227634/index.m3u8
CCTV1,http://ott.mobaibox.com/PLTV/3/224/3221228049/index.m3u8
CCTV1,http://ott.mobaibox.com/PLTV/3/224/3221228075/index.m3u8
CCTV1,http://ott.mobaibox.com/PLTV/3/224/3221227725/index.m3u8
CCTV1,http://ott.mobaibox.com/PLTV/3/224/3221228213/index.m3u8
CCTV1,http://ott.mobaibox.com/PLTV/3/224/3221227467/index.m3u8
CCTV1,http://ott.mobaibox.com/PLTV/3/224/3221228149/index.m3u8
CCTV1,http://ott.mobaibox.com/PLTV/4/224/3221228581/index.m3u8
CCTV2,http://[2409:8087:2001:20:2800:0:df6e:eb12]/wh7f454c46tw3589111099_-1793408755/ott.mobaibox.com/PLTV/3/224/3221227543/index.m3u8?icpid=3&RTS=1668594088&from=40&popid=40&hms_devid=2112&prioritypopid=40&vqe=3
CCTV2,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221228300/index.m3u8
CCTV2,http://[2409:8087:2001:20:2900:0:df6e:eb04]/ott.mobaibox.com/PLTV/1/224/3221228094/1.m3u8
CCTV2,http://[2409:8087:2001:20:2900:0:df6e:eb04]/ott.mobaibox.com/PLTV/1/224/3221226993/1.m3u8
CCTV2,http://[2409:8087:2001:20:2900:0:df6e:eb04]/ott.mobaibox.com/PLTV/1/224/3221227696/1.m3u8
CCTV2,http://ott.mobaibox.com/PLTV/3/224/3221228094/index.m3u8
CCTV2,http://ott.mobaibox.com/PLTV/3/224/3221226993/index.m3u8
CCTV2,http://ott.mobaibox.com/PLTV/3/224/3221227207/index.m3u8
CCTV2,http://ott.mobaibox.com/PLTV/3/224/3221227708/index.m3u8
CCTV2,http://ott.mobaibox.com/PLTV/3/224/3221227427/index.m3u8
CCTV2,http://ott.mobaibox.com/PLTV/3/224/3221227696/index.m3u8
CCTV2,http://ott.mobaibox.com/PLTV/3/224/3221228118/index.m3u8
CCTV2,http://ott.mobaibox.com/PLTV/3/224/3221228300/index.m3u8
CCTV2,http://ott.mobaibox.com/PLTV/3/224/3221227543/index.m3u8
CCTV3,http://[2409:8087:2001:20:2800:0:df6e:eb18]/wh7f454c46tw3746132328_-1754088424/ott.mobaibox.com/PLTV/3/224/3221228126/index.m3u8?icpid=3&RTS=1668594245&from=40&popid=40&hms_devid=2113&prioritypopid=40&vqe=3
CCTV3,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221227623/index.m3u8
CCTV3,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221228188/index.m3u8
CCTV3,http://[2409:8087:2001:20:2900:0:df6e:eb04]/ott.mobaibox.com/PLTV/1/224/3221228499/1.m3u8
CCTV3,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221228237/index.m3u8
CCTV3,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221228392/index.m3u8
CCTV3,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221227650/index.m3u8
CCTV3,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/3/224/3221227650/index.m3u8
CCTV3,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/3/224/3221227623/index.m3u8
CCTV3,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/3/224/3221228188/index.m3u8
CCTV3,http://ott.mobaibox.com/PLTV/3/224/3221225588/index.m3u8
CCTV3,http://ott.mobaibox.com/PLTV/3/224/3221227481/index.m3u8
CCTV3,http://ott.mobaibox.com/PLTV/3/224/3221227295/index.m3u8
CCTV3,http://ott.mobaibox.com/PLTV/3/224/3221228237/index.m3u8
CCTV3,http://ott.mobaibox.com/PLTV/3/224/3221227650/index.m3u8
CCTV3,http://ott.mobaibox.com/PLTV/3/224/3221227424/index.m3u8
CCTV3,http://ott.mobaibox.com/PLTV/3/224/3221227623/index.m3u8
CCTV3,http://ott.mobaibox.com/PLTV/3/224/3221228188/index.m3u8
CCTV3,http://ott.mobaibox.com/PLTV/3/224/3221228392/index.m3u8
CCTV3,http://ott.mobaibox.com/PLTV/3/224/3221227546/index.m3u8
CCTV3,http://ott.mobaibox.com/PLTV/3/224/3221228126/index.m3u8
CCTV3,http://ott.mobaibox.com/PLTV/3/224/3221228499/index.m3u8
CCTV4,http://[2409:8087:2001:20:2800:0:df6e:eb12]/wh7f454c46tw3772680253_-1555628407/ott.mobaibox.com/PLTV/3/224/3221227549/index.m3u8?icpid=3&RTS=1668594272&from=40&popid=40&hms_devid=2112&prioritypopid=40&vqe=3
